































































































































































































































































































































Russell Crowe       
Joaquin Phoenix     
Connie Nielsen      
Oliver Reed         
Richard Harris      
Derek Jacobi        
Djimon Hounsou      
David Schofield     
John Shrapnel       
Tomas Arana         
Ralf Moeller        
Spencer Treat Clark 
David Hemmings      
Tommy Flanagan      
Omid Djalili        
Nicholas McGaughey  
Chris Kell          
Tony Curran         
Mark Lewis          
John Quinn          
Alun Raglan         
Chick Allan         
David Nicholls      
Al Ashton           
Billy Dowd          
Ray Calleja         
Giannina Facio      
Giorgio Cantarini   
Allan Corduner      
Michael Mellinger   
Said Amel           
Adam Levy           
Gilly Gilchrist     
Malcolm Ellul       
James Fiddy         
Ruth Frendo         
Mehdi Kashani       
Tom Kay             
Nic Main            
Antonio Meitin      
Jo?o Costa Menezes  
Mike Mitchell       
Norman Campbell Rees
Neil Roche          
Paul Sacks          
Michael Sheen       
Christian Simpson   
Brian Smyj          
Tony Tomlinson      



































































































































































































































































































































































































































































Chris Evans                 
Mark Ruffalo                
Chris Hemsworth             
Scarlett Johansson          
Jeremy Renner               
Tom Hiddleston              
Clark Gregg                 
Cobie Smulders              
Stellan Skarsg?rd           
Gwyneth Paltrow             
Paul Bettany                
Alexis Denisof              
Tina Benko                  
Jerzy Skolimowski           
Kirill Nikiforov            
Jeff Wolfe                  
Rashmi Rustagi              
Powers Boothe               
Jenny Agutter               
Arthur Darbinyan            
Donald Li                   
Warren Kole                 
Alicia Sixtos               
Jesse Garcia                
Maximiliano Hern¨¢ndez       
Dieter Riesle               
Kenneth Tigar               
Walter Perez                
Harry Dean Stanton          
Josh Cowdery                
Ashley Johnson              
Katsumi Komatsu             
Yumiko Komatsu              
Momoko Komatsu              
